locales,en,tw
pages,,
pages.home,This page is home page,這是首頁
pages.about,This page is about page,這是關於頁
language,English,繁中
navigations,,
navigations.home,Home,首頁
navigations.about,About,關於
navigations.product,Product,產品
navigations.stock,Stock,股票
navigations.map,Map,地圖
navigations.logout,Logout,登出
navigations.login,Login,登入
labels,,
labels.language,Languages,語系
labels.save,Save,儲存
labels.delete,Delete,刪除
labels.test.test,entest,twtest
valid,,
valid.required,Value is required,必填
stocks,,
stocks.stocks,Stocks,選股
stocks.legalPerson,Legal person,法人
stocks.revenues,Revenues,營收
stocks.notes,Notes,筆記
stocks.seminars,Seminars,會議
stocks.EPS,EPS,EPS
